atomic_ea_minimo,atomic_ea_maximo,atomic_ea_soma,atomic_en_allen _soma,atomic_en_allen _desvio,atomic_en_allredroch_minimo,atomic_hatm_minimo,atomic_spacegroupnum_maximo,atomic_spacegroupnum_desvio,electrical_resist_maximo,mineral_hardness_maximo,van_der_waals_rad_minimo,vel_of_sound_minimo
15.7,141.0,375.5,5.223,1.426739163267063,1.47,249.0,229.0,86.0186026391966,12.7,8.5,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
0.0,141.0,485.1,4.903,1.268843551894273,1.11,131.0,225.0,68.6490631949994,131.0,5.0,150.0,317.5
0.0,141.0,435.1,4.903,1.335251588860899,1.23,131.0,225.0,73.76313442364011,7.2,5.0,150.0,317.5
29.6,141.0,368.6,3.61,1.345367566462373,1.07,207.0,194.0,66.53069467045518,94.0,2.5,150.0,317.5
29.6,141.0,432.3,3.61,1.263236853063896,1.07,207.0,194.0,62.80127387243033,131.0,5.0,150.0,317.5
0.0,141.0,444.7,3.61,1.263236853063896,1.08,249.0,229.0,72.29248980103434,144.0,8.5,150.0,317.5
0.0,141.0,368.6,3.61,1.263236853063896,1.07,207.0,217.0,64.85305210510096,144.0,6.0,150.0,317.5
0.0,141.0,426.3,3.61,1.263236853063896,1.11,249.0,229.0,72.29248980103434,144.0,8.5,150.0,317.5
2.37,141.0,357.32,6.247,1.184433059936013,0.91,89.0,229.0,95.21232984809289,130.0,6.0,0.0,317.5
5.03,141.0,341.63,6.397,1.278419831395822,0.99,164.0,225.0,66.49259587444642,60.0,6.0,150.0,0.0
0.0,141.0,313.05,4.903,1.268843551894273,0.97,131.0,229.0,71.66589146867567,40.0,7.5,150.0,317.5
5.03,141.0,391.63,4.573,1.251969501486782,0.99,164.0,229.0,74.61110055836606,40.0,8.5,150.0,0.0
2.37,141.0,350.17,6.247,1.184433059936013,0.91,89.0,229.0,71.31190472215731,74.0,6.0,150.0,317.5
0.0,141.0,312.03,6.397,1.278419831395822,0.99,164.0,225.0,68.39262402049043,144.0,6.0,150.0,0.0
7.6,141.0,370.95,5.434,1.316962925423026,0.97,182.0,229.0,67.02207982205171,74.0,6.0,150.0,317.5
7.6,141.0,350.55,5.434,1.316962925423026,0.97,182.0,229.0,67.02207982205171,60.0,6.0,150.0,317.5
2.37,141.0,313.95,6.475999999999999,1.182766783988341,0.97,107.0,229.0,94.81625624849144,130.0,6.0,0.0,0.0
5.03,141.0,234.38,4.573,1.251969501486782,0.97,164.0,229.0,71.31190472215731,43.3,6.0,150.0,0.0
0.0,141.0,341.63,6.397,1.233452668072431,0.99,164.0,225.0,64.54443721189301,144.0,6.0,150.0,0.0
7.6,141.0,407.05,5.434,1.316962925423026,0.97,182.0,229.0,70.19738933455969,43.3,6.0,150.0,317.5
48.0,141.0,501.0,3.61,1.263236853063896,1.01,175.0,229.0,68.7975438574396,94.0,4.0,150.0,0.0
0.0,141.0,246.4,5.606999999999999,1.277294243051824,0.99,164.0,225.0,75.28482951800818,144.0,6.0,150.0,0.0
7.6,141.0,357.0,5.434,1.380681192584137,1.08,249.0,194.0,66.74432976332564,74.0,6.0,150.0,317.5
0.0,141.0,426.3,3.61,1.263236853063896,1.11,249.0,229.0,72.29248980103434,144.0,8.5,150.0,317.5
41.1,141.0,530.1,3.61,1.134513546703749,1.01,175.0,229.0,59.37659679464275,131.0,5.0,150.0,0.0
33.0,141.0,415.1,3.61,1.263236853063896,1.01,175.0,229.0,66.2872536767062,115.0,5.0,150.0,0.0
41.1,141.0,430.1,3.61,1.263236853063896,1.06,152.0,225.0,65.78288345080384,131.0,5.0,150.0,317.5
7.6,141.0,357.0,5.434,1.380681192584137,1.07,207.0,194.0,64.79304660909911,94.0,6.0,150.0,317.5
7.6,141.0,357.0,5.434,1.380681192584137,1.11,249.0,194.0,66.74432976332564,131.0,6.0,150.0,317.5
41.1,141.0,430.1,3.61,1.263236853063896,1.01,175.0,229.0,66.2872536767062,94.0,5.0,150.0,0.0
