trial	mean_acc	n_ok_folds	n_fail_folds	params_json
118	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
119	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
120	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
121	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
122	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
123	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
124	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
125	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
126	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
127	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
128	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
129	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 8, "model__random_type": "normal", "model__treinador": "no_re"}
130	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 8, "model__random_type": "uniform", "model__treinador": "no_re"}
131	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 9, "model__random_type": "normal", "model__treinador": "no_re"}
